stt,kanji,hanviet,on_reading,kun_reading,stroke_count,radicals,core_meaning,story_image,logic_development,memory_tip,adjectives,vocabulary
229,習,TẬP,シュウ,なら-う,11,羽-vũ|白-bạch,Học tập,Chim tập bay bằng cánh (羽) cả ngày (白).,羽-vu + 白-bach -> (習) thực hành,Học đi học lại.,なし:không có,習う(ならう):học|練習(れんしゅう):luyện tập|自習(じしゅう):tự học|慣習(かんしゅう):tập quán|学習(がくしゅう):học tập
230,勉,MIỄN,ベン,なし,10,免-miễn|力-lực,Cố gắng,Dùng lực (力) để miễn (免) cưỡng làm.,免-mien + 力-luc -> (勉) chăm chỉ,Nỗ lực hết mình.,なし:không có,勉強(べんきょう):học tập|勤勉(きんべん):cần cù|勉学(べんがく):việc học|強勉(きょうべん):ép học|勉励(べんれい):khích lệ
231,強,CƯỜNG,キョウ|ゴウ,つよ-い,11,弓-cung|口-khẩu|虫-trùng,Mạnh,Cái cung (弓) mạnh như sâu (虫).,弓-cung + 虫-trung -> (強) mạnh mẽ,Sức mạnh thể chất hoặc ý chí.,強い(つよい):mạnh,勉強(べんきょう):học tập|強力(きょうりょく):mạnh mẽ|強調(きょうちょう):nhấn mạnh|強気(つよき):vững tin|強盗(ごうとう):cướp
232,研,NGHIÊN,ケン,と-ぐ,9,石-thạch|开-nghiên,Nghiên cứu,Dùng đá (石) mài (开) cho sạch.,石-thach + 开-nghien -> (研) mài giũa,Tìm hiểu sâu sắc.,なし:không có,研究(けんきゅう):nghiên cứu|研修(けんしゅう):tu nghiệp|研ぐ(とぐ):mài|研究所(けんきゅうじょ):viện nghiên cứu|研鑽(けんさん):trau dồi
233,究,CỨU,キュウ,きわ-める,7,穴-huyệt|九-cửu,Nghiên cứu,Tìm hiểu cái hang (穴) chín (九) lần.,穴-huyet + 九-cuu -> (究) đào sâu,Tìm hiểu tận cùng.,なし:không có,研究(けんきゅう):nghiên cứu|究明(きゅうめい):làm sáng tỏ|学究(がっきゅう):học cứu|追究(ついきゅう):truy cứu|究極(きゅうきょく):cuối cùng
234,留,LƯU,リュウ,と-まる,10,卯-mão|田-điền,Ở lại,Dừng lại trên ruộng (田) để canh giữ.,卯-mao + 田-dien -> (留) giữ lại,Không rời đi.,なし:không có,留学生(りゅうがくせい):du học sinh|留守(るす):vắng nhà|保留(ほりゅう):bảo lưu|留学(りゅうがく):du học|停留所(ていりゅうじょ):trạm dừng
235,質,CHẤT,シツ,なし,15,斤-cân|貝-bối,Chất lượng,Dùng rìu (斤) để định giá tiền (貝).,斤-can + 貝-boi -> (質) bản chất,Đặc điểm hoặc câu hỏi.,なし:không có,質問(しつもん):câu hỏi|品質(ひんしつ):chất lượng|性質(せいしつ):tính chất|物質(ぶっしつ):vật chất|質屋(しちや):tiệm cầm đồ
236,問,VẤN,モン,と-う,11,門-môn|口-khẩu,Hỏi,Đứng ở cổng (門) để hỏi (口).,門-mon + 口-khau -> (問) thắc mắc,Đặt câu hỏi.,なし:không có,質問(しつもん):câu hỏi|問題(もんだい):vấn đề|訪問(ほうもん):thăm hỏi|問い合わせ(といあわせ):hỏi thông tin|疑問(ぎもん):nghi vấn
237,題,ĐỀ,ダイ,なし,18,是-thị|頁-hiệt,Chủ đề,Vấn đề (是) được viết trên trang đầu (頁).,是-thi + 頁-hiet -> (題) đề mục,Nội dung cần thảo luận.,なし:không có,問題(もんだい):vấn đề|宿題(しゅくだい):bài tập|題名(だいめい):tiêu đề|話題(わだい):chủ đề|課題(かだい):nhiệm vụ
238,答,ĐÁP,トウ,こた-える,12,竹-trúc|合-hợp,Trả lời,Lời nói khớp (合) như ống tre (竹).,竹-truc + 合-hop -> (答) hồi đáp,Phản hồi lại câu hỏi.,なし:không có,答える(こたえる):trả lời|回答(かいとう):đáp án|答案(とうあん):bài làm|口答え(くちごたえ):cãi lại|問答(もんどう):vấn đáp
239,宿,TÚC,シュク,やど,11,宀-miên|亻-nhân|百-bách,Chỗ ở,Trăm (百) người (亻) trọ dưới mái nhà (宀).,宀-mien + 亻-nhan + 百-bach -> (宿) trọ lại,Nơi ngủ qua đêm.,なし:không có,宿題(しゅくだい):bài tập|宿泊(しゅくはく):trú ngụ|下宿(げしゅく):nhà trọ|新宿(しんじゅく):shinjuku|宿舎(しゅくしゃ):ký túc xá
240,政,CHÍNH,セイ,まつりごと,9,正-chính|攵-phộc,Chính trị,Sửa cho đúng (正) bằng roi (攵).,正-chinh + 攵-phoc -> (政) cai trị,Quản lý đất nước.,なし:không có,政治(せいじ):chính trị|政府(せいふ):chính phủ|政党(せいとう):đảng phái|行政(ぎょうせい):hành chính|政策(せいさく):chính sách
241,治,TRỊ,ジ|チ,なお-る,8,氵-thủy|台-đài,Chữa trị,Dùng nước (氵) trên đài (台) để gột rửa.,氵-thuy + 台-dai -> (治) trị bệnh,Quản lý hoặc hồi phục.,なし:không có,政治(せいじ):chính trị|治る(なおる):khỏi bệnh|治金(じきん):luyện kim|自治(じち):tự trị|治療(ちりょう):điều trị
242,制,CHẾ,セイ,なし,8,牛-ngưu|刀-đao,Chế độ,Dùng dao (刀) để kiểm soát con bò (牛).,牛-nguu + 刀-dao -> (制) quy định,Luật lệ hoặc sản xuất.,なし:không có,制度(せいど):chế độ|制作(せいさく):chế tác|制服(せいふく):đồng phục|制限(せいげん):hạn chế|制御(せいぎょ):kiểm soát
243,済,TẾ,サイ,す-む,11,氵-thủy|斉-tề,Kết thúc,Dòng nước (氵) làm sạch mọi thứ (斉).,氵-thuy + 斉-te -> (済) hoàn thành,Giải quyết xong xuôi.,なし:không có,経済(けいざい):kinh tế|済む(すむ):kết thúc|返済(へんさい):trả nợ|決済(けっさい):thanh toán|共済(きょうさい):tương trợ
244,業,NGHIỆP,ギョウ,わざ,13,業-nghiệp,Nghề nghiệp,Hình cái giá treo nhạc khí thời cổ.,業-nghiep -> (業) công việc,Lĩnh vực hoạt động chuyên môn.,なし:không có,工業(こうぎょう):công nghiệp|授業(じゅぎょう):giờ học|卒業(そつぎょう):tốt nghiệp|残業(ざんぎょう):làm thêm|作業(さぎょう):thao tác
245,歴,LỊCH,レキ,なし,14,厂-hán|林-lâm|止-chỉ,Lịch sử,Đi qua (止) khu rừng (林) dưới vách đá (厂).,厂-han + 林-lam + 止-chi -> (歴) trải qua,Những gì đã qua.,なし:không có,歴史(れきし):lịch sử|履歴書(りれきしょ):sơ yếu lý lịch|経歴(けいれき):kinh nghiệm|学歴(がくれき):học vấn|職歴(しょくれき):kinh nghiệm làm việc
246,育,DỤC,イク,そだ-つ,8,育-dục,Nuôi dưỡng,Đứa trẻ sinh ra được chăm sóc.,育-duc -> (育) giáo dục,Lớn lên hoặc nuôi nấng.,なし:không có,教育(きょういく):giáo dục|育つ(そだつ):lớn lên|体育(たいいく):thể dục|保育園(ほいくえん):nhà trẻ|育児(いくじ):chăm con
247,変,BIẾN,ヘン,か-わる,9,亠-đầu|亦-diệc|攵-phộc,Thay đổi,Dùng tay (攵) tác động để thay đổi.,亠-dau + 亦-diec + 攵-phoc -> (変) biến đổi,Lạ lùng hoặc khác thường.,変な(へんな):lạ,変わる(かわる):thay đổi|大変(たいへん):vất vả|変化(へんか):biến hóa|変更(へんこう):thay đổi|変則(へんそく):bất quy tắc
248,理,LÝ,リ,なし,11,王-vương|里-lý,Lý do,Vị vua (王) cai quản dặm đất (里).,王-vuong + 里-ly -> (理) lẽ phải,Nguyên lý hoặc sự hiểu biết.,なし:không có,理由(りゆう):lý do|料理(りょうり):nấu ăn|理解(りかい):hiểu|修理(しゅうり):sửa chữa|心理(しんり):tâm lý
249,科,KHOA,カ,なし,9,禾-hoa|斗-đấu,Khoa học,Dùng đấu (斗) đong lúa (禾) theo loại.,禾-hoa + 斗-dau -> (科) phân khoa,Lĩnh vực nghiên cứu chuyên biệt.,なし:không có,科学(かがく):khoa học|教科書(きょうかしょ):sách giáo khoa|内科(ないか):nội khoa|学科(がっか):chuyên ngành|科目(かもく):môn học
250,数,SỐ,スウ,かず|かぞ-える,13,米-mễ|女-nữ|攵-phộc,Con số,Người nữ (女) dùng tay (攵) đếm gạo (米).,米-me + 女-nu + 攵-phoc -> (数) số lượng,Các con số tính toán.,なし:không có,数学(すうがく):toán học|数える(かぞえる):đếm|数字(すうじ):chữ số|人数(にんずう):số người|複数(ふくすう):số nhiều
251,医,Y,イ,なし,7,匚-phương|矢-thỉ,Y học,Dùng mũi tên (矢) bỏ vào hộp (匚) để chữa bệnh.,匚-phuong + 矢-thi -> (医) thầy thuốc,Liên quan đến chữa bệnh.,なし:không có,医者(いしゃ):bác sĩ|医学(いがく):y học|医院(いいん):phòng khám|医療(いりょう):y tế|外科医(げかい):bác sĩ ngoại khoa
